Visitor/Neutral,PTS,Win,Home/Neutral,PTS.1,Win.1,Visitor Seed,Home Seed,Year,Visitor_id,Visitor win_pct,Visitor off_rtg,Visitor def_rtg,Visitor net_rtg,Visitor pace,Visitor efg_pct,Visitor ts_pct,Visitor tov_pct,Visitor orb_pct,Visitor drb_pct,Home_id,Home win_pct,Home off_rtg,Home def_rtg,Home net_rtg,Home pace,Home efg_pct,Home ts_pct,Home tov_pct,Home orb_pct,Home drb_pct
Dallas Mavericks,86,0,San Antonio Spurs,100,1,5,1,2001,1610612742.0,0.476,113.7,115.0,-1.3,100.15,0.549,0.583,0.14,0.271,0.694,1610612759.0,0.415,113.5,116.3,-2.8,100.08,0.544,0.575,0.138,0.278,0.69
Charlotte Hornets,90,0,Milwaukee Bucks,91,1,6,2,2001,1610612766.0,0.232,106.7,115.7,-9.1,98.22,0.503,0.537,0.157,0.308,0.705,1610612749.0,0.585,115.1,112.7,2.4,99.92,0.568,0.598,0.133,0.235,0.725
Sacramento Kings,90,0,Los Angeles Lakers,96,1,3,2,2001,1610612758.0,0.488,115.9,115.3,0.6,98.91,0.548,0.582,0.133,0.294,0.728,1610612747.0,0.61,115.0,113.8,1.2,98.34,0.557,0.593,0.142,0.273,0.702
Toronto Raptors,92,0,Philadelphia 76ers,97,1,5,1,2001,1610612761.0,0.366,109.6,113.6,-4.1,100.62,0.522,0.553,0.152,0.311,0.696,1610612755.0,0.293,111.0,117.3,-6.3,98.13,0.527,0.563,0.138,0.279,0.678
San Antonio Spurs,104,1,Dallas Mavericks,90,0,1,5,2001,1610612759.0,0.415,113.5,116.3,-2.8,100.08,0.544,0.575,0.138,0.278,0.69,1610612742.0,0.476,113.7,115.0,-1.3,100.15,0.549,0.583,0.14,0.271,0.694
Milwaukee Bucks,92,0,Charlotte Hornets,102,1,2,6,2001,1610612749.0,0.585,115.1,112.7,2.4,99.92,0.568,0.598,0.133,0.235,0.725,1610612766.0,0.232,106.7,115.7,-9.1,98.22,0.503,0.537,0.157,0.308,0.705
Philadelphia 76ers,78,0,Toronto Raptors,102,1,1,5,2001,1610612755.0,0.293,111.0,117.3,-6.3,98.13,0.527,0.563,0.138,0.279,0.678,1610612761.0,0.366,109.6,113.6,-4.1,100.62,0.522,0.553,0.152,0.311,0.696
Los Angeles Lakers,103,1,Sacramento Kings,81,0,2,3,2001,1610612747.0,0.61,115.0,113.8,1.2,98.34,0.557,0.593,0.142,0.273,0.702,1610612758.0,0.488,115.9,115.3,0.6,98.91,0.548,0.582,0.133,0.294,0.728
San Antonio Spurs,108,0,Dallas Mavericks,112,1,1,5,2001,1610612759.0,0.415,113.5,116.3,-2.8,100.08,0.544,0.575,0.138,0.278,0.69,1610612742.0,0.476,113.7,115.0,-1.3,100.15,0.549,0.583,0.14,0.271,0.694
Milwaukee Bucks,78,0,Charlotte Hornets,85,1,2,6,2001,1610612749.0,0.585,115.1,112.7,2.4,99.92,0.568,0.598,0.133,0.235,0.725,1610612766.0,0.232,106.7,115.7,-9.1,98.22,0.503,0.537,0.157,0.308,0.705
Philadelphia 76ers,84,1,Toronto Raptors,79,0,1,5,2001,1610612755.0,0.293,111.0,117.3,-6.3,98.13,0.527,0.563,0.138,0.279,0.678,1610612761.0,0.366,109.6,113.6,-4.1,100.62,0.522,0.553,0.152,0.311,0.696
Los Angeles Lakers,119,1,Sacramento Kings,113,0,2,3,2001,1610612747.0,0.61,115.0,113.8,1.2,98.34,0.557,0.593,0.142,0.273,0.702,1610612758.0,0.488,115.9,115.3,0.6,98.91,0.548,0.582,0.133,0.294,0.728
Dallas Mavericks,87,0,San Antonio Spurs,105,1,5,1,2001,1610612742.0,0.476,113.7,115.0,-1.3,100.15,0.549,0.583,0.14,0.271,0.694,1610612759.0,0.415,113.5,116.3,-2.8,100.08,0.544,0.575,0.138,0.278,0.69
Charlotte Hornets,94,1,Milwaukee Bucks,86,0,6,2,2001,1610612766.0,0.232,106.7,115.7,-9.1,98.22,0.503,0.537,0.157,0.308,0.705,1610612749.0,0.585,115.1,112.7,2.4,99.92,0.568,0.598,0.133,0.235,0.725
Toronto Raptors,88,0,Philadelphia 76ers,121,1,5,1,2001,1610612761.0,0.366,109.6,113.6,-4.1,100.62,0.522,0.553,0.152,0.311,0.696,1610612755.0,0.293,111.0,117.3,-6.3,98.13,0.527,0.563,0.138,0.279,0.678
Milwaukee Bucks,104,1,Charlotte Hornets,97,0,2,6,2001,1610612749.0,0.585,115.1,112.7,2.4,99.92,0.568,0.598,0.133,0.235,0.725,1610612766.0,0.232,106.7,115.7,-9.1,98.22,0.503,0.537,0.157,0.308,0.705
Philadelphia 76ers,89,0,Toronto Raptors,101,1,1,5,2001,1610612755.0,0.293,111.0,117.3,-6.3,98.13,0.527,0.563,0.138,0.279,0.678,1610612761.0,0.366,109.6,113.6,-4.1,100.62,0.522,0.553,0.152,0.311,0.696
Los Angeles Lakers,104,1,San Antonio Spurs,90,0,2,1,2001,1610612747.0,0.61,115.0,113.8,1.2,98.34,0.557,0.593,0.142,0.273,0.702,1610612759.0,0.415,113.5,116.3,-2.8,100.08,0.544,0.575,0.138,0.278,0.69
Charlotte Hornets,95,0,Milwaukee Bucks,104,1,6,2,2001,1610612766.0,0.232,106.7,115.7,-9.1,98.22,0.503,0.537,0.157,0.308,0.705,1610612749.0,0.585,115.1,112.7,2.4,99.92,0.568,0.598,0.133,0.235,0.725
Toronto Raptors,87,0,Philadelphia 76ers,88,1,5,1,2001,1610612761.0,0.366,109.6,113.6,-4.1,100.62,0.522,0.553,0.152,0.311,0.696,1610612755.0,0.293,111.0,117.3,-6.3,98.13,0.527,0.563,0.138,0.279,0.678
Los Angeles Lakers,88,1,San Antonio Spurs,81,0,2,1,2001,1610612747.0,0.61,115.0,113.8,1.2,98.34,0.557,0.593,0.142,0.273,0.702,1610612759.0,0.415,113.5,116.3,-2.8,100.08,0.544,0.575,0.138,0.278,0.69
Milwaukee Bucks,85,0,Philadelphia 76ers,93,1,2,1,2001,1610612749.0,0.585,115.1,112.7,2.4,99.92,0.568,0.598,0.133,0.235,0.725,1610612755.0,0.293,111.0,117.3,-6.3,98.13,0.527,0.563,0.138,0.279,0.678
Milwaukee Bucks,92,1,Philadelphia 76ers,78,0,2,1,2001,1610612749.0,0.585,115.1,112.7,2.4,99.92,0.568,0.598,0.133,0.235,0.725,1610612755.0,0.293,111.0,117.3,-6.3,98.13,0.527,0.563,0.138,0.279,0.678
San Antonio Spurs,72,0,Los Angeles Lakers,111,1,1,2,2001,1610612759.0,0.415,113.5,116.3,-2.8,100.08,0.544,0.575,0.138,0.278,0.69,1610612747.0,0.61,115.0,113.8,1.2,98.34,0.557,0.593,0.142,0.273,0.702
Philadelphia 76ers,74,0,Milwaukee Bucks,80,1,1,2,2001,1610612755.0,0.293,111.0,117.3,-6.3,98.13,0.527,0.563,0.138,0.279,0.678,1610612749.0,0.585,115.1,112.7,2.4,99.92,0.568,0.598,0.133,0.235,0.725
San Antonio Spurs,82,0,Los Angeles Lakers,111,1,1,2,2001,1610612759.0,0.415,113.5,116.3,-2.8,100.08,0.544,0.575,0.138,0.278,0.69,1610612747.0,0.61,115.0,113.8,1.2,98.34,0.557,0.593,0.142,0.273,0.702
Philadelphia 76ers,89,1,Milwaukee Bucks,83,0,1,2,2001,1610612755.0,0.293,111.0,117.3,-6.3,98.13,0.527,0.563,0.138,0.279,0.678,1610612749.0,0.585,115.1,112.7,2.4,99.92,0.568,0.598,0.133,0.235,0.725
Milwaukee Bucks,88,0,Philadelphia 76ers,89,1,2,1,2001,1610612749.0,0.585,115.1,112.7,2.4,99.92,0.568,0.598,0.133,0.235,0.725,1610612755.0,0.293,111.0,117.3,-6.3,98.13,0.527,0.563,0.138,0.279,0.678
Philadelphia 76ers,100,0,Milwaukee Bucks,110,1,1,2,2001,1610612755.0,0.293,111.0,117.3,-6.3,98.13,0.527,0.563,0.138,0.279,0.678,1610612749.0,0.585,115.1,112.7,2.4,99.92,0.568,0.598,0.133,0.235,0.725
Milwaukee Bucks,91,0,Philadelphia 76ers,108,1,2,1,2001,1610612749.0,0.585,115.1,112.7,2.4,99.92,0.568,0.598,0.133,0.235,0.725,1610612755.0,0.293,111.0,117.3,-6.3,98.13,0.527,0.563,0.138,0.279,0.678
Philadelphia 76ers,107,1,Los Angeles Lakers,101,0,1,2,2001,1610612755.0,0.293,111.0,117.3,-6.3,98.13,0.527,0.563,0.138,0.279,0.678,1610612747.0,0.61,115.0,113.8,1.2,98.34,0.557,0.593,0.142,0.273,0.702
