Visitor/Neutral,PTS,Win,Home/Neutral,PTS.1,Win.1,Visitor Seed,Home Seed,Year,Visitor_id,Visitor win_pct,Visitor off_rtg,Visitor def_rtg,Visitor net_rtg,Visitor pace,Visitor efg_pct,Visitor ts_pct,Visitor tov_pct,Visitor orb_pct,Visitor drb_pct,Home_id,Home win_pct,Home off_rtg,Home def_rtg,Home net_rtg,Home pace,Home efg_pct,Home ts_pct,Home tov_pct,Home orb_pct,Home drb_pct
Charlotte Hornets,90,0,Milwaukee Bucks,91,1,6,2,2001,1610612766,0.561,99.7,97.6,2.1,91.24,0.457,0.506,0.156,0.315,0.71,1610612749,0.634,106.8,102.6,4.2,93.89,0.499,0.542,0.145,0.301,0.683
Sacramento Kings,90,0,Los Angeles Lakers,96,1,3,2,2001,1610612758,0.671,104.2,98.5,5.7,95.61,0.484,0.529,0.152,0.307,0.679,1610612747,0.683,107,103.6,3.5,92.9,0.498,0.535,0.154,0.338,0.691
Toronto Raptors,92,0,Philadelphia 76ers,97,1,5,1,2001,1610612761,0.573,104.4,102,2.3,92.22,0.468,0.51,0.141,0.339,0.7,1610612755,0.683,101.9,97.3,4.6,92.09,0.468,0.518,0.17,0.334,0.704
San Antonio Spurs,104,1,Dallas Mavericks,90,0,1,5,2001,1610612759,0.707,105,96.6,8.3,90.87,0.496,0.541,0.152,0.297,0.703,1610612742,0.646,105.6,101.2,4.4,94.52,0.498,0.544,0.146,0.272,0.678
Milwaukee Bucks,92,0,Charlotte Hornets,102,1,2,6,2001,1610612749,0.634,106.8,102.6,4.2,93.89,0.499,0.542,0.145,0.301,0.683,1610612766,0.561,99.7,97.6,2.1,91.24,0.457,0.506,0.156,0.315,0.71
Philadelphia 76ers,78,0,Toronto Raptors,102,1,1,5,2001,1610612755,0.683,101.9,97.3,4.6,92.09,0.468,0.518,0.17,0.334,0.704,1610612761,0.573,104.4,102,2.3,92.22,0.468,0.51,0.141,0.339,0.7
Los Angeles Lakers,103,1,Sacramento Kings,81,0,2,3,2001,1610612747,0.683,107,103.6,3.5,92.9,0.498,0.535,0.154,0.338,0.691,1610612758,0.671,104.2,98.5,5.7,95.61,0.484,0.529,0.152,0.307,0.679
San Antonio Spurs,108,0,Dallas Mavericks,112,1,1,5,2001,1610612759,0.707,105,96.6,8.3,90.87,0.496,0.541,0.152,0.297,0.703,1610612742,0.646,105.6,101.2,4.4,94.52,0.498,0.544,0.146,0.272,0.678
Milwaukee Bucks,78,0,Charlotte Hornets,85,1,2,6,2001,1610612749,0.634,106.8,102.6,4.2,93.89,0.499,0.542,0.145,0.301,0.683,1610612766,0.561,99.7,97.6,2.1,91.24,0.457,0.506,0.156,0.315,0.71
Philadelphia 76ers,84,1,Toronto Raptors,79,0,1,5,2001,1610612755,0.683,101.9,97.3,4.6,92.09,0.468,0.518,0.17,0.334,0.704,1610612761,0.573,104.4,102,2.3,92.22,0.468,0.51,0.141,0.339,0.7
Los Angeles Lakers,119,1,Sacramento Kings,113,0,2,3,2001,1610612747,0.683,107,103.6,3.5,92.9,0.498,0.535,0.154,0.338,0.691,1610612758,0.671,104.2,98.5,5.7,95.61,0.484,0.529,0.152,0.307,0.679
Dallas Mavericks,87,0,San Antonio Spurs,105,1,5,1,2001,1610612742,0.646,105.6,101.2,4.4,94.52,0.498,0.544,0.146,0.272,0.678,1610612759,0.707,105,96.6,8.3,90.87,0.496,0.541,0.152,0.297,0.703
Charlotte Hornets,94,1,Milwaukee Bucks,86,0,6,2,2001,1610612766,0.561,99.7,97.6,2.1,91.24,0.457,0.506,0.156,0.315,0.71,1610612749,0.634,106.8,102.6,4.2,93.89,0.499,0.542,0.145,0.301,0.683
Toronto Raptors,88,0,Philadelphia 76ers,121,1,5,1,2001,1610612761,0.573,104.4,102,2.3,92.22,0.468,0.51,0.141,0.339,0.7,1610612755,0.683,101.9,97.3,4.6,92.09,0.468,0.518,0.17,0.334,0.704
Milwaukee Bucks,104,1,Charlotte Hornets,97,0,2,6,2001,1610612749,0.634,106.8,102.6,4.2,93.89,0.499,0.542,0.145,0.301,0.683,1610612766,0.561,99.7,97.6,2.1,91.24,0.457,0.506,0.156,0.315,0.71
Philadelphia 76ers,89,0,Toronto Raptors,101,1,1,5,2001,1610612755,0.683,101.9,97.3,4.6,92.09,0.468,0.518,0.17,0.334,0.704,1610612761,0.573,104.4,102,2.3,92.22,0.468,0.51,0.141,0.339,0.7
Los Angeles Lakers,104,1,San Antonio Spurs,90,0,2,1,2001,1610612747,0.683,107,103.6,3.5,92.9,0.498,0.535,0.154,0.338,0.691,1610612759,0.707,105,96.6,8.3,90.87,0.496,0.541,0.152,0.297,0.703
Charlotte Hornets,95,0,Milwaukee Bucks,104,1,6,2,2001,1610612766,0.561,99.7,97.6,2.1,91.24,0.457,0.506,0.156,0.315,0.71,1610612749,0.634,106.8,102.6,4.2,93.89,0.499,0.542,0.145,0.301,0.683
Toronto Raptors,87,0,Philadelphia 76ers,88,1,5,1,2001,1610612761,0.573,104.4,102,2.3,92.22,0.468,0.51,0.141,0.339,0.7,1610612755,0.683,101.9,97.3,4.6,92.09,0.468,0.518,0.17,0.334,0.704
Los Angeles Lakers,88,1,San Antonio Spurs,81,0,2,1,2001,1610612747,0.683,107,103.6,3.5,92.9,0.498,0.535,0.154,0.338,0.691,1610612759,0.707,105,96.6,8.3,90.87,0.496,0.541,0.152,0.297,0.703
Milwaukee Bucks,85,0,Philadelphia 76ers,93,1,2,1,2001,1610612749,0.634,106.8,102.6,4.2,93.89,0.499,0.542,0.145,0.301,0.683,1610612755,0.683,101.9,97.3,4.6,92.09,0.468,0.518,0.17,0.334,0.704
Milwaukee Bucks,92,1,Philadelphia 76ers,78,0,2,1,2001,1610612749,0.634,106.8,102.6,4.2,93.89,0.499,0.542,0.145,0.301,0.683,1610612755,0.683,101.9,97.3,4.6,92.09,0.468,0.518,0.17,0.334,0.704
San Antonio Spurs,72,0,Los Angeles Lakers,111,1,1,2,2001,1610612759,0.707,105,96.6,8.3,90.87,0.496,0.541,0.152,0.297,0.703,1610612747,0.683,107,103.6,3.5,92.9,0.498,0.535,0.154,0.338,0.691
