team_id,team,win_pct,off_rtg,def_rtg,net_rtg,pace,efg_pct,ts_pct,tov_pct,orb_pct,drb_pct,is_champion,season_end
1610612747,Los Angeles Lakers,0.61,105.6,103.4,2.2,93.78,0.486,0.528,0.153,0.328,0.693,0,2003
1610612763,Memphis Grizzlies,0.341,102.3,105.9,-3.5,94.03,0.487,0.526,0.162,0.301,0.659,0,2003
1610612748,Miami Heat,0.305,95.4,101.2,-5.8,88.93,0.439,0.483,0.159,0.306,0.709,0,2003
1610612749,Milwaukee Bucks,0.512,107.2,106.9,0.3,91.76,0.5,0.543,0.137,0.287,0.666,0,2003
1610612750,Minnesota Timberwolves,0.622,104.8,102.5,2.2,93.08,0.488,0.528,0.146,0.31,0.695,0,2003
1610612751,New Jersey Nets,0.598,102.1,96.6,5.4,93,0.468,0.518,0.158,0.317,0.702,0,2003
1610612740,New Orleans Hornets,0.573,102.4,100,2.4,90.72,0.465,0.511,0.161,0.345,0.697,0,2003
1610612752,New York Knicks,0.451,103.3,104.6,-1.3,92.06,0.486,0.528,0.151,0.28,0.689,0,2003
1610612753,Orlando Magic,0.512,103.7,103.7,0,94.33,0.478,0.526,0.151,0.3,0.68,0,2003
1610612755,Philadelphia 76ers,0.585,103.2,100.6,2.6,93.07,0.466,0.52,0.158,0.324,0.704,0,2003
1610612756,Phoenix Suns,0.537,102.6,101.3,1.3,92.59,0.473,0.514,0.158,0.323,0.672,0,2003
1610612757,Portland Trail Blazers,0.61,104.2,101.5,2.7,90.44,0.489,0.531,0.167,0.338,0.689,0,2003
1610612758,Sacramento Kings,0.72,104.4,97.8,6.6,96.63,0.499,0.535,0.149,0.289,0.678,0,2003
1610612759,San Antonio Spurs,0.732,103.9,98.1,5.8,91.46,0.497,0.541,0.171,0.311,0.687,1,2003
1610612760,Seattle SuperSonics,0.488,102.4,102.6,-0.2,89.17,0.472,0.512,0.147,0.314,0.688,0,2003
1610612761,Toronto Raptors,0.293,99.3,105.6,-6.3,91.01,0.458,0.497,0.157,0.318,0.678,0,2003
1610612762,Utah Jazz,0.573,103.7,101.1,2.6,90.78,0.486,0.537,0.184,0.353,0.673,0,2003
1610612764,Washington Wizards,0.451,101.5,102.6,-1.1,89.46,0.46,0.513,0.148,0.305,0.686,0,2003
1610612737,Atlanta Hawks,0.341,99.1,103.9,-4.8,92.68,0.465,0.514,0.176,0.308,0.686,0,2004
1610612738,Boston Celtics,0.439,100.7,102.2,-1.5,94.47,0.486,0.532,0.172,0.279,0.658,0,2004
1610612741,Chicago Bulls,0.28,95.6,102.1,-6.5,93.23,0.446,0.486,0.172,0.311,0.679,0,2004
1610612739,Cleveland Cavaliers,0.427,100.6,103.1,-2.6,91.71,0.451,0.498,0.16,0.34,0.688,0,2004
1610612742,Dallas Mavericks,0.634,110.4,105.9,4.5,94.62,0.495,0.536,0.128,0.335,0.686,0,2004
1610612743,Denver Nuggets,0.524,102.4,101.4,1,94.64,0.467,0.517,0.164,0.337,0.664,0,2004
1610612765,Detroit Pistons,0.659,100.3,93.9,6.5,89.34,0.461,0.511,0.168,0.332,0.686,1,2004
1610612744,Golden State Warriors,0.451,101.5,102.6,-1.1,90.95,0.475,0.517,0.161,0.312,0.694,0,2004
1610612745,Houston Rockets,0.549,99.7,97.8,1.9,88.92,0.484,0.528,0.186,0.305,0.708,0,2004
1610612754,Indiana Pacers,0.744,102.5,96.2,6.3,88.54,0.471,0.52,0.162,0.32,0.706,0,2004
1610612746,Los Angeles Clippers,0.341,101.9,106.6,-4.7,92.49,0.453,0.512,0.176,0.362,0.677,0,2004
1610612747,Los Angeles Lakers,0.683,104.2,100.1,4.1,93.39,0.481,0.522,0.146,0.313,0.701,0,2004
1610612763,Memphis Grizzlies,0.61,103.4,100.8,2.6,92.6,0.479,0.522,0.16,0.325,0.655,0,2004
1610612748,Miami Heat,0.512,100.6,100.3,0.3,89.3,0.463,0.51,0.154,0.307,0.707,0,2004
1610612749,Milwaukee Bucks,0.5,104.6,103.5,1.1,93.2,0.477,0.528,0.144,0.308,0.69,0,2004
1610612750,Minnesota Timberwolves,0.707,104.2,98.5,5.7,90.24,0.486,0.528,0.14,0.303,0.691,0,2004
1610612751,New Jersey Nets,0.573,99,96.4,2.6,90.97,0.471,0.515,0.162,0.289,0.711,0,2004
1610612740,New Orleans Hornets,0.5,100.7,100.6,0.1,90.59,0.46,0.505,0.164,0.332,0.681,0,2004
1610612752,New York Knicks,0.476,99.7,101.3,-1.6,91.29,0.474,0.518,0.17,0.307,0.701,0,2004
1610612753,Orlando Magic,0.256,101.4,108.8,-7.4,92.14,0.461,0.504,0.148,0.315,0.657,0,2004
1610612755,Philadelphia 76ers,0.402,97.8,100.4,-2.6,89.26,0.456,0.505,0.177,0.313,0.681,0,2004
1610612756,Phoenix Suns,0.354,100.3,104.2,-3.8,93.72,0.475,0.515,0.162,0.297,0.661,0,2004
1610612757,Portland Trail Blazers,0.5,102.1,103.5,-1.5,87.54,0.478,0.515,0.166,0.344,0.67,0,2004
1610612758,Sacramento Kings,0.671,108.6,103.2,5.4,94.25,0.507,0.554,0.146,0.292,0.676,0,2004
1610612759,San Antonio Spurs,0.695,101,93.1,7.9,90.23,0.473,0.511,0.162,0.319,0.71,0,2004
1610612760,Seattle SuperSonics,0.451,105.6,106.4,-0.8,91.34,0.501,0.54,0.158,0.302,0.655,0,2004
1610612761,Toronto Raptors,0.402,95.3,98.8,-3.4,88.24,0.454,0.495,0.159,0.27,0.673,0,2004
1610612762,Utah Jazz,0.512,100,101.3,-1.3,88.26,0.456,0.509,0.188,0.373,0.691,0,2004
1610612764,Washington Wizards,0.305,97.2,102.9,-5.7,93.9,0.454,0.5,0.186,0.333,0.667,0,2004
1610612737,Atlanta Hawks,0.159,98.8,109,-10.2,93.09,0.464,0.504,0.171,0.326,0.696,0,2005
1610612738,Boston Celtics,0.549,105.9,105.1,0.8,94.61,0.501,0.551,0.165,0.305,0.671,0,2005
1610612766,Charlotte Bobcats,0.22,99.8,106,-6.2,93.54,0.455,0.497,0.154,0.327,0.676,0,2005
1610612741,Chicago Bulls,0.573,100.5,99.1,1.4,93.41,0.471,0.517,0.178,0.317,0.691,0,2005
1610612739,Cleveland Cavaliers,0.512,105.3,104.7,0.6,90.72,0.47,0.518,0.152,0.354,0.674,0,2005
1610612742,Dallas Mavericks,0.707,108.5,102.6,5.9,94.18,0.492,0.545,0.142,0.319,0.674,0,2005
1610612743,Denver Nuggets,0.598,104.7,102.6,2.2,94.68,0.483,0.535,0.157,0.313,0.678,0,2005
1610612765,Detroit Pistons,0.659,103.9,99.6,4.3,88.59,0.472,0.519,0.154,0.34,0.693,0,2005
1610612744,Golden State Warriors,0.415,103.4,105.5,-2.2,94.45,0.475,0.512,0.142,0.303,0.666,0,2005
1610612745,Houston Rockets,0.622,104.4,100.1,4.3,90.18,0.486,0.534,0.152,0.301,0.713,0,2005
1610612754,Indiana Pacers,0.537,103.7,102.7,1,88.71,0.476,0.534,0.16,0.296,0.687,0,2005
1610612746,Los Angeles Clippers,0.451,103.8,104.5,-0.8,90.66,0.477,0.533,0.171,0.338,0.687,0,2005
1610612747,Los Angeles Lakers,0.415,106.4,109.6,-3.2,92.34,0.485,0.535,0.155,0.324,0.68,0,2005
1610612763,Memphis Grizzlies,0.549,104.2,101.5,2.7,89.65,0.489,0.535,0.163,0.308,0.663,0,2005
1610612748,Miami Heat,0.72,108.9,102.2,6.7,91.73,0.524,0.559,0.147,0.297,0.698,0,2005
1610612749,Milwaukee Bucks,0.366,105.1,108.1,-3,92.14,0.475,0.527,0.149,0.322,0.687,0,2005
1610612750,Minnesota Timberwolves,0.537,106.6,105,1.6,90.39,0.489,0.534,0.145,0.321,0.682,0,2005
1610612751,New Jersey Nets,0.512,99.9,101.6,-1.7,90.41,0.463,0.512,0.155,0.298,0.701,0,2005
1610612740,New Orleans Hornets,0.22,98.2,105.9,-7.7,88.97,0.446,0.493,0.165,0.329,0.675,0,2005
1610612752,New York Knicks,0.402,104.5,107.2,-2.7,92.12,0.485,0.531,0.158,0.316,0.686,0,2005
1610612753,Orlando Magic,0.439,103.4,105.7,-2.3,96.15,0.478,0.529,0.168,0.328,0.682,0,2005
1610612755,Philadelphia 76ers,0.524,101.8,102.5,-0.7,96.56,0.475,0.528,0.16,0.281,0.703,0,2005
1610612756,Phoenix Suns,0.756,112.7,105.7,7,97.35,0.534,0.571,0.14,0.304,0.656,0,2005
1610612757,Portland Trail Blazers,0.329,101.9,106.1,-4.3,91.05,0.484,0.524,0.175,0.331,0.65,0,2005
1610612758,Sacramento Kings,0.61,108.8,106.5,2.3,94.52,0.496,0.541,0.137,0.315,0.667,0,2005
1610612759,San Antonio Spurs,0.72,106.1,97.8,8.3,89.96,0.492,0.534,0.151,0.321,0.697,1,2005
1610612760,Seattle SuperSonics,0.634,110.3,108,2.3,89.24,0.495,0.546,0.151,0.357,0.681,0,2005
1610612761,Toronto Raptors,0.402,105.4,107.2,-1.8,94.01,0.492,0.539,0.14,0.269,0.682,0,2005
1610612762,Utah Jazz,0.317,102.9,107.3,-4.4,90.02,0.469,0.522,0.174,0.351,0.695,0,2005
1610612764,Washington Wizards,0.549,105.4,105.9,-0.4,94.8,0.474,0.523,0.15,0.338,0.667,0,2005
1610612737,Atlanta Hawks,0.317,104.8,110.1,-5.3,91.75,0.486,0.534,0.169,0.334,0.667,0,2006
1610612738,Boston Celtics,0.402,104,105.6,-1.5,93.27,0.504,0.551,0.176,0.289,0.694,0,2006
1610612766,Charlotte Bobcats,0.317,101.2,105.6,-4.4,94.57,0.464,0.509,0.149,0.305,0.678,0,2006
1610612741,Chicago Bulls,0.5,103.3,102.7,0.7,93.59,0.487,0.527,0.158,0.303,0.703,0,2006
1610612739,Cleveland Cavaliers,0.61,106.6,104.4,2.1,90.77,0.492,0.538,0.151,0.313,0.717,0,2006
1610612742,Dallas Mavericks,0.732,109.9,103.2,6.7,89.3,0.495,0.55,0.15,0.347,0.69,0,2006
1610612743,Denver Nuggets,0.537,104.4,104.1,0.3,94.9,0.488,0.535,0.154,0.3,0.682,0,2006
1610612765,Detroit Pistons,0.78,109.3,101.7,7.6,87.98,0.497,0.535,0.128,0.317,0.68,0,2006
1610612744,Golden State Warriors,0.415,103.5,104.9,-1.4,94.43,0.479,0.521,0.148,0.296,0.686,0,2006
1610612745,Houston Rockets,0.415,100.4,102.1,-1.7,89.07,0.471,0.519,0.162,0.291,0.705,0,2006
1610612754,Indiana Pacers,0.5,103.1,101,2,90.85,0.487,0.533,0.168,0.304,0.699,0,2006
1610612746,Los Angeles Clippers,0.573,103.8,102.2,1.6,92.99,0.487,0.54,0.154,0.286,0.719,0,2006
1610612747,Los Angeles Lakers,0.549,106.8,104.2,2.6,92.22,0.495,0.539,0.15,0.316,0.701,0,2006
1610612763,Memphis Grizzlies,0.598,104.5,100.4,4.1,87.39,0.496,0.537,0.157,0.298,0.69,0,2006
1610612748,Miami Heat,0.634,107.5,103.4,4.1,92.56,0.517,0.556,0.156,0.297,0.726,1,2006
